Id Empresa;Empresa;Departamento;Municipio; NUSD;Nombre del relleno sanitario;Estado del relleno sanitario;Fecha en que adquiri el estado;Fecha de reporte del estado;Ano de reporte de informacion;Fecha de reporte de informacion;Propietario del relleno sanitario;Latitud;Longitud;Altitud;Fecha inicio de operaciones;Fecha terminacion vida util;Vida util (meses);area media que contiene residuos (m2);Profundidad media de los residuos (m);Tiene cerco perimetral;Tiene caseta de entrada;Tiene drenaje de lixiviados;Cuenta con drenaje de aguas lluvias;Tiene impermeabilizacion de fondo;Tipo de impermeabilizacion de fondo;Tiene cobertura final;Tipo de cobertura final;Tiene estacion de pesaje;Aplica compactacion a los residuos dispuestos;Compactacion aplicada a los residuos dispuestos (T/m3);Capacidad de diseno del relleno sanitario (m3);Capacidad disponible (m3);Tipo de relleno sanitario;Tipo de residuos dispuestos;Caracterizacion de residuos;Organicos (%);Vidrio (%);Metal (%);Plastico (%);Papel (%);Carton (%);Otros organicos (%);Otros inorganicos (%);Fecha ultima caracterizacion;Sistema de drenaje de gases;Cantidad de pozos verticales (chimeneas y horizontales);Cuenta con un proyecto de biogas;Tiene programado desarrollar un proyecto de biogas en los proximos cinco (5) anos;Caudal de biogas en la estacion de quemado (m3/h);Contenido de metano en la estacion de quemado (%);Cantidad de lixiviado producido (L/s);Cantidad de lixiviado tratado (L/s);Representante legal de la empresa;Telefono de contacto;Correo electronico de la empresa
726; UNIDAD MUNICIPAL DE SERVICIOS PUBLCIOS DOMICILIARIOS DE ANGOSTURA-ANTIOQUIA;ANTIOQUIA;ANGOSTURA;5978;BUENAVISTA;3|INACTIVO;14/03/2008;2/03/2009;2009;11/05/2013;Municipio;3.98033615;-76.21435089;1773;24/11/1996;ND;0;0;0;NO;NO;NO;NO;NO;Ninguno;SI;No aplica;NO;NO;ND;ND;0;Relleno sanitario;ND;NO;ND;ND;ND;ND;ND;ND;ND;ND;ND;No tiene;ND;NO;NO;ND;ND;0;0;RICARDO LEON VALENCIA MARIN;8645161;angoal01@edatel.net.co
2628;UNIDAD DE SERVICIOS PUBLICOS DOMICILIARIOS DEL MUNICIPIO DE CAICEDO.;ANTIOQUIA;CAICEDO;6014;RELLENO SANITARIO;1|EN OPERACION;22/03/2008;22/03/2008;2009;21/09/2010;Municipio;3.98033615;-76.21435089;ND;8/06/1999;ND;0;0;0;SI;SI;NO;SI;NO;Tierra;SI;Limo;NO;NO;ND;ND;0;Relleno sanitario;ND;NO;ND;ND;ND;ND;ND;ND;ND;ND;ND;Activo;3;ND;ND;ND;ND;ND;ND;MIGUEL ALFONSO MARTINEZ GAVIRIA;8572002;serviciospublicos@caicedo-antioquia.gov.co
2573;UNIDAD DE SERVICIOS PUBLICOS DE ABRIAQUI;ANTIOQUIA;ABRIAQUI;6034;RELLENO SANITARIO;1|EN OPERACION;25/03/2008;25/03/2008;2006;25/03/2008;Otro;3.98033615;-76.21435089;ND;4/05/2000;ND;ND;ND;ND;SI;SI;SI;SI;SI;ND;NO;Tierra;NO;NO;1;ND;ND;Relleno sanitario;ordinarios-;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;Activo;ND;ND;ND;ND;ND;1;1;EDGAR HERNADO GOMEZ BEDOYA;8520024;abriaqui97@yahoo.es
20654;UNIDAD ADMINISTRATIVA ESPECIAL DE SERVICIOS PUBLICOS DE PUERTO LOPEZ;META;PUERTO LOPEZ;6054;BIOAGRICOLA DEL LLANO;1|EN OPERACION;31/03/2008;31/03/2008;2007;31/03/2008;Empresa;3.98033615;-76.21435089;ND;1/01/2006;ND;0;0;0;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0;ND;0;Relleno sanitario;ND;N/A;0;0;0;0;0;0;0;0;N/A;N/A;0;N/A;N/A;0;0;0;0;CARLOS ENRIQUE RANGEL CENTENO;6450759;uaes.esp@gmail.com
20492;UNIDAD MUNICIPAL DE SERVICIOS PUBLICOS DOMICILIARIOS DE TUNUNGUA;BOYACA;TUNUNGUA;6174;CELDA PROVISIONAL;1|EN OPERACION;14/04/2008;14/04/2008;2010;31/03/2011;Municipio;3.98033615;-76.21435089;ND;24/07/2000;ND;12;40;5;SI;NO;SI;SI;NO;Tierra;SI;Tierra;NO;SI;0;ND;20;Relleno sanitario;ordinarios-;SI;81.47;0.44;0.11;1.04;0.73;0.7;13.89;1.35;18/01/2010;Pasivo;1;NO;NO;ND;ND;5;5;HERMES URIEL COMBITA SANTANA;7265931;tununguaboyaca@hotmail.com
21707;EMPRESA DE SERVICIOS PUBLICOS DE ROLDANILLO S.A. E.S.P.;VALLE DEL CAUCA;ROLDANILLO;6214;EL GUACHAL;1|EN OPERACION;15/04/2008;15/04/2008;2009;29/07/2010;Empresa;3.98033615;-76.21435089;965;1/05/2007;31/12/2009;33;2000;12;SI;SI;SI;NO;NO;Arcilla;SI;Limo;NO;SI;60;ND;55000;Relleno sanitario;ND;NO;ND;ND;ND;ND;ND;ND;ND;ND;ND;Pasivo;4;ND;ND;ND;ND;ND;ND;JUAN FELIPE TORO MOLINA;2297505;atencionalcliente@serviciospublicosroldanillo.com
21861;SEGOVIA ASEO S.A.  E.S.P.;ANTIOQUIA;SEGOVIA;6234;LA VERA;1|EN OPERACION;16/04/2008;16/04/2008;2016;17/01/2018;Municipio;3.98033615;-76.21435089;630;1/09/2007;6/12/2017;14;20000;10;SI;SI;SI;SI;NO;Sintetico;SI;Arcilla;SI;SI;0.85;ND;20026.89;Relleno sanitario;ordinarios-;SI;19;5;7;16;2;3;0;48;1/06/2016;Pasivo;20;NO;NO;ND;ND;1;1;JULIAN FERNANDO IBARBO GIL;8314385;serviciospublicos@segoviaaseo.com.co
862;MUNICIPIO DE NOBSA;BOYACA;NOBSA;6283;RELLENO SANITARIO;1|EN OPERACION;21/04/2008;21/04/2008;2008;10/04/2009;Municipio;3.98033615;-76.21435089;ND;26/05/1995;ND;ND;ND;ND;SI;SI;SI;SI;SI;ND;NO;Arena;NO;NO;0;ND;ND;Relleno sanitario;ordinarios-;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;Activo;ND;ND;ND;ND;ND;0;0;OSCAR EDUARDO TEATINO VARGAS;7773126;www.alcaldiadenobsa@hotmail.com
20293;SECRETARIA DE INFRAESTRUCTURA DEL MUNICIPIO DE CIRCASIA;QUINDIO;CALARCA;6292;PARQUE AMBIENTAL VILLA KARINA;1|EN OPERACION;21/04/2008;21/04/2008;2009;11/07/2010;Empresa;3.98033615;-76.21435089;ND;ND;ND;30;10;25;NO;NO;NO;NO;NO;Tierra;SI;Tierra;NO;NO;ND;ND;1000;Relleno sanitario;ND;NO;ND;ND;ND;ND;ND;ND;ND;ND;ND;No tiene;ND;ND;ND;ND;ND;ND;ND;PATRICIA MORA OCAMPO;7584183;alcaldia@circasia-quindio.gov.co
20738;JUNTA DE SERVICIOS PUBLICOS DEL MUNICIPIO DE GUACAMAYAS;BOYACA;GUACAMAYAS;6301;PE?ISCOLA;1|EN OPERACION;22/04/2008;22/04/2008;2008;27/03/2009;Municipio;3.98033615;-76.21435089;2636;12/08/2004;30/09/2008;ND;ND;ND;SI;NO;NO;SI;NO;ND;NO;Ninguno;NO;NO;1;ND;ND;Relleno sanitario;ordinarios-industriales-escombros-poda de arboles y cesped;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;No tiene;ND;ND;ND;ND;ND;1;1;ANGEL GOMEZ NEIRA;7880283;alcaldiadeguacamayas@hotmail.com
20487;ALCALDIA MUNICIPAL DE GRANADA CUNDINAMARCA;CUNDINAMARCA;BOJACA;6304;NUEVO MONDO?EDO;1|EN OPERACION;22/04/2008;22/04/2008;2007;22/11/2008;Otro;3.98033615;-76.21435089;ND;ND;3/06/1935;ND;ND;ND;SI;SI;SI;SI;SI;ND;NO;Tierra;SI;NO;1;ND;ND;Relleno sanitario;ordinarios-poda de arboles y cesped;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;Activo;ND;ND;ND;ND;ND;0;0;JORGE ALBERTO SIERRA PADILLA;8669334;serviciospublicos@granada-cundinamarca.gov.co
20191;OFICINA DE SERVICIOS PUBLICOS DE ACUEDUCTO;CUNDINAMARCA;CUCUNUBA;6311;VEREDA APOSENTOS;4|DATO INCORRECTO;22/04/2008;16/07/2013;2010;24/10/2011;Empresa;3.98033615;-76.21435089;2710;14/12/1999;31/12/2012;0;0;0;NO;NO;NO;NO;NO;Otro;SI;No aplica;NO;NO;ND;ND;0;Relleno sanitario;ND;NO;ND;ND;ND;ND;ND;ND;ND;ND;ND;No tiene;ND;NO;NO;ND;ND;0;0;JOSE GUILLERMO QUINTANA CASTRO;8580179;servipublicos07@gmail.com
20478;UNIDAD DE SERVICIOS PUBLICOS DE ACUEDUCTO ALCANTARILLADO Y ASEO DEL MUNICIPIO DE BRICENO;BOYACA;BRICENO;6314;RELLENO SANITARIO;1|EN OPERACION;22/04/2008;22/04/2008;2011;12/05/2012;Municipio;3.98033615;-76.21435089;1297;15/12/2007;ND;60;20;1;SI;NO;SI;SI;NO;Sintetico;SI;Tierra;NO;NO;ND;ND;20;Relleno sanitario;ordinarios-;NO;ND;ND;ND;ND;ND;ND;ND;ND;ND;No tiene;ND;NO;NO;ND;ND;0;0;BEATRIZ PAEZ CASTELLANOS;7265431;alcaldia@briceno-boyaca.gov.co
37;UNIDAD ADMINISTRADORA DE LOS SERVICIOS PUBLICOS DOMICILIARIOS DE ACUEDUCTO;BOYACA;CHIQUINQUIRA;6316;CARAPACHO;1|EN OPERACION;22/04/2008;22/04/2008;2009;4/10/2013;Otro;3.98033615;-76.21435089;ND;ND;ND;0;0;0;NO;NO;NO;NO;NO;Otro;SI;No aplica;NO;NO;ND;ND;0;Relleno sanitario;ND;NO;ND;ND;ND;ND;ND;ND;ND;ND;ND;No tiene;ND;NO;NO;ND;ND;0;0;CESAR JAVIER BRICEãO SUAREZ;7265631;buenavistaboyaca@yahoo.com
1228;JUNTA DE SERVICIOS PUBLICOS DEL MUNICIPIO DE CHOCONTA;CUNDINAMARCA;CHOCONTA;6335;RELLENO SANITARIO CHOCONTA;1|EN OPERACION;23/04/2008;23/04/2008;2010;23/09/2011;Municipio;3.98033615;-76.21435089;2850;19/07/1996;ND;264;15000;4.92;SI;SI;SI;SI;NO;Arcilla;SI;Arcilla;NO;NO;ND;ND;30664;Relleno sanitario;ordinarios-;NO;ND;ND;ND;ND;ND;ND;ND;ND;ND;No tiene;ND;NO;NO;ND;ND;1080;1080;RODRIGO ARMANDO CHICUASUQUE FERNANDEZ;8562125;servipublicoschoconta@gmail.com
20582;UNIDAD DE SERVICIOS PUBLICOS DOMICILIARIOS DE ASEO DEL MUNICIPIO DE  FREDONIA;ANTIOQUIA;SABANETA;6336;PLANTA DE TRANSFERENCIA;1|EN OPERACION;23/04/2008;23/04/2008;2008;14/10/2009;Municipio;3.98033615;-76.21435089;ND;ND;ND;ND;ND;ND;SI;SI;SI;SI;SI;ND;NO;Ninguno;SI;NO;0;ND;ND;Relleno sanitario;ordinarios-;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;No tiene;ND;ND;ND;ND;ND;0;0;CARLOS MARIO LONDOãO ESPINOSA;8401264;alcaldia@fredonia.com
1818;MUNICIPIO DE CONCEPCION;ANTIOQUIA;CONCEPCION;6337;CERRO DE LA VIRGEN;1|EN OPERACION;23/04/2008;23/04/2008;2006;23/04/2008;Municipio;3.98033615;-76.21435089;ND;3/01/1994;ND;ND;ND;ND;SI;SI;SI;SI;NO;ND;NO;Tierra;NO;NO;0;ND;ND;Relleno sanitario;ordinarios-hospitalarios-;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;Activo;ND;ND;ND;ND;ND;0;0;GUSTAVO ALONSO LOPEZ ORREGO;8567083;serviciospublicos@concepcion-antioquia.gov.co
697;OFICINA DE SERVICIOS PUBLICOS MUNICIPIO DE ANZA;ANTIOQUIA;ANZA;6348;LOS CEDROS;1|EN OPERACION;23/04/2008;23/04/2008;2010;25/07/2011;Municipio;3.98033615;-76.21435089;ND;23/02/2006;ND;120;1000;500;SI;SI;SI;SI;NO;Tierra;SI;Arena;NO;SI;5;ND;1500;Relleno sanitario;ordinarios-;SI;100;2.34;1.77;8.04;0.44;3.97;14.57;0.44;4/04/2005;Activo;2;NO;NO;ND;ND;0;0;ALEXANDRA SANCHEZ MARIN;8522047;serviciospublicos@anza-antioquia.gov.co
838;UNIDAD DE SERVICIOS PUBLICOS DOMICILIARIOS MUNICIPIO DE ALEJANDRIA;ANTIOQUIA;ALEJANDRIA;6350;RELLENO SANITARIO ALEJANDRIA;1|EN OPERACION;23/04/2008;23/04/2008;2011;6/06/2012;Municipio;3.98033615;-76.21435089;ND;24/11/1997;ND;0;0;0;SI;SI;SI;SI;NO;Tierra;SI;Tierra;NO;SI;1.4;ND;0;Relleno sanitario;ordinarios-hospitalarios-;NO;ND;ND;ND;ND;ND;ND;ND;ND;ND;Pasivo;0;NO;NO;ND;ND;1.4;1.4;SOR MARIA OCAMPO GIRALDO;8660016;servipublicos@alejandria-antioquia.gov.co
2992;UNIDAD MUNICIPAL DE SERVICIOS P˜BLICOS DOMICILIARIOS DEL MUNICIPIO DE  SALAZAR DE LAS PALMAS;NORTE DE SANTANDER;CUCUTA;6351;LA GUAIMARALA;1|EN OPERACION;23/04/2008;23/04/2008;2006;23/04/2008;Empresa;3.98033615;-76.21435089;325;ND;11/08/2015;ND;ND;ND;SI;SI;SI;SI;SI;ND;NO;Arcilla;SI;NO;0.9;ND;ND;Relleno sanitario;ordinarios-;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;Activo;ND;ND;ND;ND;ND;0.04;0.04;FRANK CARLOS CASTRILLON ROJAS;5668039;serviciospublicos@salazardelaspalmas-nortedesantander.gov.co
1789;UNIDAD DE SERVICIOS P˜BLICOS DOMICILIARIOS  DEL MUNICIPIO DE DABEIBA;ANTIOQUIA;DABEIBA;6352;PUENTE DE URAMA ;1|EN OPERACION;24/04/2008;24/04/2008;2008;2/07/2009;Municipio;3.98033615;-76.21435089;ND;3/11/1995;ND;ND;ND;ND;NO;SI;SI;SI;SI;ND;NO;Tierra;NO;NO;3;ND;ND;Relleno sanitario;ordinarios-;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;Activo;ND;ND;ND;ND;ND;2;2;OMAR ALBEIRO  ANAYA VILLARREAL;8590300;municipiodedabeiba@yahoo.es
1725;SECRETARIA DE SERVICIOS PUBLICOS DOMICILIARIOS DEL MUNICIPIO DE REMEDIOS -  ANTIOQUIA;ANTIOQUIA;REMEDIOS;6356;PARAJE PUENTE ROTO;1|EN OPERACION;7/02/2000;24/04/2008;2007;3/06/2008;Municipio;3.98033615;-76.21435089;ND;7/02/2000;10/05/2010;ND;ND;ND;SI;NO;SI;SI;SI;ND;NO;Tierra;NO;NO;0;ND;ND;Relleno sanitario;ordinarios-hospitalarios-peligrosos-;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;Activo;ND;ND;ND;ND;ND;0.2;0;JESUS MARIA BEDOYA   QUIRAMA;8304219;serviciospublicosrem@edatel.net.co
20002;UNIDAD DE SERVICIOS P˜BLICOS DEL MUNICIPIO DE ENTRERRIOS;ANTIOQUIA;ENTRERRIOS;6357;RELLENO SANITARIO;1|EN OPERACION;24/04/2008;24/04/2008;2013;6/03/2014;Municipio;3.98033615;-76.21435089;ND;7/05/1996;ND;144;6096;3;SI;SI;SI;SI;NO;Tierra;SI;Tierra;NO;SI;2.22;ND;8.98;Relleno sanitario;ordinarios-poda de arboles y cesped;SI;963;39.6;0;78.48;33.48;38.88;0;0;5/11/2004;Activo y Pasivo;15;NO;NO;ND;ND;0.2;0.2;WEIMAR VILLA TOBON;5670411;servicios@entrerrios-antioquia.gov.co
20446;MUNICIPIO DE ANORI;ANTIOQUIA;ANORI;6358;RELLENO SANITARIO SAN ANTONIO;1|EN OPERACION;1/08/2013;24/04/2008;2008;19/02/2011;Municipio;3.98033615;-76.21435089;0;1/08/2013;ND;ND;ND;ND;SI;NO;NO;SI;NO;ND;NO;Arena;NO;NO;0;ND;ND;Relleno sanitario;ordinarios-hospitalarios-peligrosos-poda de arboles y cesped;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;Pasivo;0;ND;ND;ND;ND;0.32;0;NICOLAS GUILLERMO HERON ARANGO;8350842;alcaldia@anori-antioquia.gov.co
1405;SECRETARIA DE SERVICIOS PUBLICOS MUNICIPIO DE SAN VICENTE ;ANTIOQUIA;SAN VICENTE FERRER;6375;GRANJA EXPERIMENTAL DE RESIDUOS S?LIDOS;1|EN OPERACION;25/04/2008;25/04/2008;2010;6/08/2012;Municipio;3.98033615;-76.21435089;ND;6/02/1998;ND;108;2500;2;SI;NO;SI;SI;NO;ND;NO;Tierra;NO;SI;0.7;ND;4500;Relleno sanitario;ND;NO;ND;ND;ND;ND;ND;ND;ND;ND;ND;Activo;8;ND;ND;ND;ND;ND;ND;YIMI ARLEY GIRALDO MARIN;8544212;serviciospublicos@sanvicente-antioquia.gov.co
2598;SECCION DE SERVICIOS PUBLICOS DE ACUEDUCTO;ANTIOQUIA;TAMESIS;6394;SANTA TERESA;1|EN OPERACION;26/04/2008;26/04/2008;2009;30/04/2010;Municipio;3.98033615;-76.21435089;1377;25/11/2000;30/06/2008;90;525;5;SI;NO;SI;SI;NO;Sintetico;SI;Limo;NO;SI;0.3;ND;11000;Relleno sanitario;ordinarios-escombros-;SI;240;40;30;20;30;40;8;868;1/01/2009;Activo;6;NO;NO;ND;ND;0.06;0.06;JUAN MARTIN VASQUEZ HINCAPIE;8496010;alcaldia@tamesis-antioquia.gov.co
20018;UNIDAD DE SERVICIOS PUBLICOS DOMICILIARIOS MUNICIPIO DE OLAYA - ANTIOQUIA;ANTIOQUIA;OLAYA;6414;RELLENO SANITARIO COLCHONA;2|CERRADO;28/04/2008;23/09/2012;2008;24/03/2009;Otro;3.98033615;-76.21435089;550;31/08/2004;25/02/2008;ND;ND;ND;SI;NO;NO;SI;SI;ND;NO;Arena;NO;NO;1;ND;ND;Relleno sanitario;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;Activo;ND;ND;ND;ND;ND;0;0;JOSE HUMBERTO CARDONA GONZALEZ;8550007;alcaldia@olaya-antioquia.gov.co
21951;OFICINA DE DESARROLLO TERRRITORIAL Y SERVICIOS PUBLICOS;ANTIOQUIA;SANTA ROSA DE OSOS;6416;PARQUE AMBIENTAL DE LOS OSOS;1|EN OPERACION;28/04/2008;28/04/2008;2008;5/11/2013;Municipio;3.98033615;-76.21435089;ND;26/01/2006;ND;ND;ND;ND;SI;SI;SI;SI;SI;ND;NO;Tierra;NO;NO;15;ND;ND;Relleno sanitario;ordinarios-;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;Activo;0;ND;ND;ND;ND;0;0;CARLOS MARIO MEDINA ROJAS;8608020;stroal01@edatel.net.co
925;UNIDAD DE SERVICIOS P˜BLICOS DEL MUNICIPIO ARGELIA;ANTIOQUIA;ARGELIA;6423;RELLENO SANITARIO LA MINA;1|EN OPERACION;28/04/2008;28/04/2008;2007;9/07/2008;Municipio;3.98033615;-76.21435089;ND;ND;ND;ND;ND;ND;SI;NO;SI;SI;NO;ND;NO;Tierra;NO;NO;0.5;ND;ND;Relleno sanitario;ordinarios-hospitalarios-industriales-peligrosos-poda de arboles y cesped;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;Activo;ND;ND;ND;ND;ND;27;0;GERARDO PEREZ LOAIZA ;8650043;contactenos@argelia-antioquia.gov.co
1788;OFICINA DE SERVICIOS PUBLICOS DEL  DEL MUNICIPIO DE SALDAãA;TOLIMA;SALDANA;6424;CUCHARO;1|EN OPERACION;28/04/2008;28/04/2008;2009;30/06/2010;Municipio;3.98033615;-76.21435089;ND;6/12/1996;ND;ND;ND;ND;NO;NO;NO;NO;NO;ND;NO;ND;NO;NO;ND;ND;ND;Relleno sanitario;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;REINALDO BARRETO MONTAãA;2286035;alcaldia@saldana-tolima.gov.co
2270;UNIDAD ESPECIAL DE SERVICIOS PUBLICOS DOMICILIARIOS DE ACUAEDUCTO;BOYACA;OTANCHE;6434;CELDA;1|EN OPERACION;29/04/2008;29/04/2008;2008;13/11/2009;Municipio;3.98033615;-76.21435089;1200;18/02/1998;30/06/2009;ND;ND;ND;SI;SI;SI;SI;SI;ND;NO;Arcilla;NO;NO;2;ND;ND;Relleno sanitario;ordinarios-poda de arboles y cesped;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;Activo;ND;ND;ND;ND;ND;1;1;LUIS ERNESTO MORENO MOLINA;7259775;otanchealcaldia@yahoo.es
1060;UNIDAD DE SERVICIOS PUBLICOS DOMICILIARIOS DE SAN ANDRES DE CUERQUIA;ANTIOQUIA;SAN ANDRES DE CUERQUIA;6437;AGUAS VIVAS;1|EN OPERACION;29/04/2008;29/04/2008;2009;18/06/2011;Municipio;3.98033615;-76.21435089;0;9/12/1996;12/03/2020;540;7625;200;SI;SI;SI;SI;NO;Tierra;SI;Otro;NO;SI;3;ND;350;Relleno sanitario;ordinarios-hospitalarios-industriales-peligrosos-;NO;ND;ND;ND;ND;ND;ND;ND;ND;ND;Activo;16;NO;SI-reduccion de emisiones (quema);ND;ND;0;0;EDUAR ROLANDO PINO ARANGO;8618206;snanal01@edatel.net.co
20500;UNIDAD DE SERVICIOS PUBLICOS DOMICILIARIOS DEL MUNICIPIO DE SORACA;BOYACA;TUNJA;6438;PIRGUA;1|EN OPERACION;29/04/2008;29/04/2008;2010;29/07/2011;Municipio;3.98033615;-76.21435089;0;ND;ND;0;0;0;NO;NO;NO;NO;NO;Otro;SI;No aplica;NO;NO;ND;ND;0;Relleno sanitario;ND;NO;ND;ND;ND;ND;ND;ND;ND;ND;ND;No tiene;ND;NO;NO;ND;ND;0;0;FRAN ESVAR URIAN PEãA;7404270;municipiosoraca@latinmail.com
855;UNIDAD DE SERVICIOS PUBLICOS DOMICILIARIOS DE AGUA POTABLE;BOYACA;QUIPAMA;6439;BARROBLANCO;1|EN OPERACION;29/04/2008;29/04/2008;2007;29/04/2008;Municipio;3.98033615;-76.21435089;1250;ND;ND;ND;ND;ND;SI;SI;SI;SI;SI;ND;NO;Tierra;NO;NO;5;ND;ND;Relleno sanitario;ordinarios-;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;Activo;ND;ND;ND;ND;ND;0.2;0;WILLIAM ENRIQUE PEREIRA HERRERA;7265131;serviciospublicos@quipama-boyaca.gov.co
3161;UNIDAD DE SERVICIOS PUBLICOS DEL MUNICIPIO DE VALPARAISO;CALDAS;MANIZALES;6473;RELLENO SANITARIO;1|EN OPERACION;30/04/2008;30/04/2008;2008;29/05/2012;Empresa;3.98033615;-76.21435089;ND;ND;ND;ND;ND;ND;SI;SI;NO;SI;SI;ND;NO;Arena;NO;NO;9;ND;ND;Relleno sanitario;ordinarios-hospitalarios-;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;Pasivo;0;ND;ND;ND;ND;0;0;ROBERTO ANTONIO CARDONA PEREZ;8493807;planeacion@valparaiso-antioquia.gov.co
20098;UNIDAD DE SERVICIOS PUBLICOS DOMICILIARIOS DE ACUEDUCTO;NORTE DE SANTANDER;CUCUTA;6513;GUAYABAL;1|EN OPERACION;2/05/2008;2/05/2008;2007;2/05/2008;Empresa;3.98033615;-76.21435089;308;ND;24/08/2026;ND;ND;ND;SI;SI;SI;SI;SI;ND;NO;Arcilla;SI;NO;1.01;ND;ND;Relleno sanitario;ordinarios-escombros-poda de arboles y cesped;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;Activo;ND;ND;ND;ND;ND;0.3;0.3;FRANCISCO ALEXANDER CONTRERAS RICO;5684999;unidadpamplonita@gmail.com
2387;OFICINA DE SERVICIOS PUBLICOS DE ACUEDUCTO ALCANTARILLADO Y ASEO DEL MUNICIPIO DE NILO (CUNDINAMARCA);CUNDINAMARCA;NILO;6574;PRADERAS;1|EN OPERACION;6/05/2008;6/05/2008;2008;18/03/2009;Empresa;3.98033615;-76.21435089;310;9/07/1996;14/06/2021;ND;ND;ND;SI;NO;SI;SI;NO;ND;NO;Arcilla;NO;NO;12;ND;ND;Relleno sanitario;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;No tiene;ND;ND;ND;ND;ND;12356;12356;FREDY ALBERTO AMADO  ANGULO;8392615;nilo@cundinamarc.gov.co
21524;ALCALDIA MUNICIPAL DE CHACHAGUI;NARINO;CHACHAGUI;6578;LA ENSILLADA;1|EN OPERACION;6/05/2008;6/05/2008;2010;25/01/2011;Municipio;3.98033615;-76.21435089;ND;20/06/2002;27/05/2017;16;900;4;SI;SI;SI;SI;NO;Tierra;SI;Tierra;NO;SI;0.5;ND;1000;Relleno sanitario;ordinarios-poda de arboles y cesped;NO;ND;ND;ND;ND;ND;ND;ND;ND;ND;Pasivo;2;NO;NO;ND;ND;0.02;0.02;HENRY JAVIER ERASO CALVACHE;7328137;alcaldia@chachagui-narino.gov.co
20121;UNIDAD DE SERVICIOS PUBLICOS DOMICILIARIOS DEL MUNICIPIO DE GUACA ;SANTANDER;GUACA;6580;EL FICAL;1|EN OPERACION;6/05/2008;6/05/2008;2011;24/08/2012;Municipio;3.98033615;-76.21435089;ND;16/03/2004;ND;0;0;0;NO;NO;NO;NO;NO;Otro;SI;No aplica;NO;NO;ND;ND;0;Relleno sanitario;ordinarios-;NO;ND;ND;ND;ND;ND;ND;ND;ND;ND;No tiene;ND;NO;NO;ND;ND;0;0;RAMIRO ALONSO REATIGA ALVARADO;6632511;alcaldia@guaca-santander.gov.co
21806;MUNICIPIO DE LA FLORIDA;NARINO;LA FLORIDA;6657;PLANTA INTEGRAL DE RESIDUOS SOLIDOS PLAZUELAS;1|EN OPERACION;8/05/2008;8/05/2008;2008;1/12/2009;Municipio;3.98033615;-76.21435089;2595;2/01/1995;8/02/2012;ND;ND;ND;NO;NO;NO;NO;NO;ND;NO;ND;NO;NO;ND;ND;ND;Relleno sanitario;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;EDUARDO ALBEIRO GOMEZ ESPAãA;7287731;alcaldia@laflorida-narino.gov.co
2963;UNIDAD ADMINISTRADORA DE SERVICIOS PUBLICOS DE ACUEDUCTO;SANTANDER;AGUADA;6713;EL SOCHO;1|EN OPERACION;10/05/2008;10/05/2008;2008;19/06/2009;Municipio;3.98033615;-76.21435089;1801;1/01/2001;3/10/2012;ND;ND;ND;SI;NO;SI;SI;SI;ND;NO;Tierra;NO;NO;0;ND;ND;Relleno sanitario;ordinarios-;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;Activo;ND;ND;ND;ND;ND;2.2;0;OSCAR MAURICIO SANCHEZ SANTAMARIA;7565517;alcaldia@guada-santander.gov.co
20213;MUNICIPIO DE ROBERTO PAYAN;NARINO;ROBERTO PAYAN;6760;SIN NOMBRE;1|EN OPERACION;12/05/2008;12/05/2008;2007;6/06/2008;Municipio;3.98033615;-76.21435089;0;1/01/2001;ND;ND;ND;ND;NO;NO;NO;NO;NO;ND;NO;Ninguno;NO;NO;0;ND;ND;Relleno sanitario;ordinarios-;ND;ND;ND;ND;ND;ND;ND;ND;ND;ND;Activo;ND;ND;ND;ND;ND;0.5;0;WISNER RODRIGO ORTIZ ORTIZ;7299484;alcaldia@robertopayan-narino.gov.co
